video_id,transition_id,frame_start,frame_end
C00_V0002,C00_V0002_T000000,0,11
C00_V0002,C00_V0002_T000001,12,40
C00_V0002,C00_V0002_T000002,42,61
C00_V0002,C00_V0002_T000003,62,81
C00_V0002,C00_V0002_T000004,83,126
C00_V0002,C00_V0002_T000005,128,227
C00_V0002,C00_V0002_T000006,228,517
C00_V0002,C00_V0002_T000007,518,569
C00_V0002,C00_V0002_T000008,570,603
C00_V0002,C00_V0002_T000009,604,633
C00_V0002,C00_V0002_T000010,634,666
C00_V0002,C00_V0002_T000011,667,696
C00_V0002,C00_V0002_T000012,697,736
C00_V0002,C00_V0002_T000013,737,764
C00_V0002,C00_V0002_T000014,765,820
C00_V0002,C00_V0002_T000015,821,862
C00_V0002,C00_V0002_T000016,863,899
C00_V0002,C00_V0002_T000017,900,942
C00_V0002,C00_V0002_T000018,943,998
C00_V0002,C00_V0002_T000019,999,1442
C00_V0002,C00_V0002_T000020,1443,1557
C00_V0002,C00_V0002_T000021,1558,1688
C00_V0002,C00_V0002_T000022,1689,1735
C00_V0002,C00_V0002_T000023,1736,1783
C00_V0002,C00_V0002_T000024,1784,1826
C00_V0002,C00_V0002_T000025,1827,1868
C00_V0002,C00_V0002_T000026,1869,1902
C00_V0002,C00_V0002_T000027,1903,1936
C00_V0002,C00_V0002_T000028,1937,2011
C00_V0002,C00_V0002_T000029,2012,2217
C00_V0002,C00_V0002_T000030,2218,2278
C00_V0002,C00_V0002_T000031,2279,2338
C00_V0002,C00_V0002_T000032,2339,2374
C00_V0002,C00_V0002_T000033,2375,2421
C00_V0002,C00_V0002_T000034,2422,2646
C00_V0002,C00_V0002_T000035,2647,2703
C00_V0002,C00_V0002_T000036,2704,2868
C00_V0002,C00_V0002_T000037,2869,2905
C00_V0002,C00_V0002_T000038,2906,2950
C00_V0002,C00_V0002_T000039,2951,2986
C00_V0002,C00_V0002_T000040,2987,3038
C00_V0002,C00_V0002_T000041,3039,3103
C00_V0002,C00_V0002_T000042,3104,3166
C00_V0002,C00_V0002_T000043,3167,3507
C00_V0002,C00_V0002_T000044,3508,3649
C00_V0002,C00_V0002_T000045,3650,3702
C00_V0002,C00_V0002_T000046,3703,3743
C00_V0002,C00_V0002_T000047,3744,3832
C00_V0002,C00_V0002_T000048,3833,3924
C00_V0002,C00_V0002_T000049,3925,4045
C00_V0002,C00_V0002_T000050,4046,4143
C00_V0002,C00_V0002_T000051,4144,4215
C00_V0002,C00_V0002_T000052,4216,4289
C00_V0002,C00_V0002_T000053,4290,4341
C00_V0002,C00_V0002_T000054,4342,4396
C00_V0002,C00_V0002_T000055,4397,4710
C00_V0002,C00_V0002_T000056,4711,4756
C00_V0002,C00_V0002_T000057,4757,4809
C00_V0002,C00_V0002_T000058,4810,4881
C00_V0002,C00_V0002_T000059,4882,4944
C00_V0002,C00_V0002_T000060,4945,5005
C00_V0002,C00_V0002_T000061,5006,5048
C00_V0002,C00_V0002_T000062,5049,5074
C00_V0002,C00_V0002_T000063,5075,5112
C00_V0002,C00_V0002_T000064,5113,5149
C00_V0002,C00_V0002_T000065,5150,5207
C00_V0002,C00_V0002_T000066,5208,5239
C00_V0002,C00_V0002_T000067,5240,5391
C00_V0002,C00_V0002_T000068,5392,5438
C00_V0002,C00_V0002_T000069,5439,5498
C00_V0002,C00_V0002_T000070,5499,5551
C00_V0002,C00_V0002_T000071,5552,5561
C00_V0002,C00_V0002_T000072,5562,5694
C00_V0002,C00_V0002_T000073,5695,5826
C00_V0002,C00_V0002_T000074,5827,5874
C00_V0002,C00_V0002_T000075,5875,5932
C00_V0002,C00_V0002_T000076,5933,5975
C00_V0002,C00_V0002_T000077,5976,6010
C00_V0002,C00_V0002_T000078,6011,6033
C00_V0002,C00_V0002_T000079,6034,6102
C00_V0002,C00_V0002_T000080,6103,6144
C00_V0002,C00_V0002_T000081,6145,6281
C00_V0002,C00_V0002_T000082,6282,6365
C00_V0002,C00_V0002_T000083,6366,6422
C00_V0002,C00_V0002_T000084,6423,6460
C00_V0002,C00_V0002_T000085,6461,6514
C00_V0002,C00_V0002_T000086,6515,6586
C00_V0002,C00_V0002_T000087,6587,6640
C00_V0002,C00_V0002_T000088,6641,6706
C00_V0002,C00_V0002_T000089,6707,6764
C00_V0002,C00_V0002_T000090,6765,6808
C00_V0002,C00_V0002_T000091,6809,6848
C00_V0002,C00_V0002_T000092,6849,6897
C00_V0002,C00_V0002_T000093,6898,6934
C00_V0002,C00_V0002_T000094,6935,7046
C00_V0002,C00_V0002_T000095,7047,7322
C00_V0002,C00_V0002_T000096,7323,7379
C00_V0002,C00_V0002_T000097,7380,7417
C00_V0002,C00_V0002_T000098,7418,7467
C00_V0002,C00_V0002_T000099,7468,7504
C00_V0002,C00_V0002_T000100,7505,7555
C00_V0002,C00_V0002_T000101,7556,7600
C00_V0002,C00_V0002_T000102,7601,7736
C00_V0002,C00_V0002_T000103,7737,7789
C00_V0002,C00_V0002_T000104,7790,8033
C00_V0002,C00_V0002_T000105,8034,8098
C00_V0002,C00_V0002_T000106,8099,8135
C00_V0002,C00_V0002_T000107,8136,8191
C00_V0002,C00_V0002_T000108,8192,8632
C00_V0002,C00_V0002_T000109,8633,8795
C00_V0002,C00_V0002_T000110,8796,8894
C00_V0002,C00_V0002_T000111,8895,9003
C00_V0002,C00_V0002_T000112,9004,9105
C00_V0002,C00_V0002_T000113,9106,9561
C00_V0002,C00_V0002_T000114,9562,9688
C00_V0002,C00_V0002_T000115,9689,9882
C00_V0002,C00_V0002_T000116,9883,9933
C00_V0002,C00_V0002_T000117,9934,10178
C00_V0002,C00_V0002_T000118,10179,10558
C00_V0002,C00_V0002_T000119,10559,10822
C00_V0002,C00_V0002_T000120,10823,10929
C00_V0002,C00_V0002_T000121,10930,11051
C00_V0002,C00_V0002_T000122,11052,11136
C00_V0002,C00_V0002_T000123,11137,11243
C00_V0002,C00_V0002_T000124,11244,11289
C00_V0002,C00_V0002_T000125,11290,11719
C00_V0002,C00_V0002_T000126,11720,11928
C00_V0002,C00_V0002_T000127,11929,12387
C00_V0002,C00_V0002_T000128,12389,12564
C00_V0002,C00_V0002_T000129,12565,12973
C00_V0002,C00_V0002_T000130,12974,13003
C00_V0002,C00_V0002_T000131,13005,13053
C00_V0002,C00_V0002_T000132,13054,13132
C00_V0002,C00_V0002_T000133,13133,13150
C00_V0002,C00_V0002_T000134,13151,13176
C00_V0002,C00_V0002_T000135,13177,13271
C00_V0002,C00_V0002_T000136,13272,13520
C00_V0002,C00_V0002_T000137,13521,13611
C00_V0002,C00_V0002_T000138,13612,13652
C00_V0002,C00_V0002_T000139,13653,13702
C00_V0002,C00_V0002_T000140,13703,13743
C00_V0002,C00_V0002_T000141,13744,13760
C00_V0002,C00_V0002_T000142,13761,13810
C00_V0002,C00_V0002_T000143,13811,13866
C00_V0002,C00_V0002_T000144,13867,13889
C00_V0002,C00_V0002_T000145,13890,13907
C00_V0002,C00_V0002_T000146,13908,13933
C00_V0002,C00_V0002_T000147,13934,14078
C00_V0002,C00_V0002_T000148,14079,14219
C00_V0002,C00_V0002_T000149,14220,14461
C00_V0002,C00_V0002_T000150,14462,14546
C00_V0002,C00_V0002_T000151,14547,14586
C00_V0002,C00_V0002_T000152,14587,14638
C00_V0002,C00_V0002_T000153,14639,14702
C00_V0002,C00_V0002_T000154,14703,14742
C00_V0002,C00_V0002_T000155,14743,14779
C00_V0002,C00_V0002_T000156,14780,14833
C00_V0002,C00_V0002_T000157,14834,14861
C00_V0002,C00_V0002_T000158,14862,14903
C00_V0002,C00_V0002_T000159,14904,14963
C00_V0002,C00_V0002_T000160,14964,15003
C00_V0002,C00_V0002_T000161,15004,15038
C00_V0002,C00_V0002_T000162,15039,15062
C00_V0002,C00_V0002_T000163,15063,15123
C00_V0002,C00_V0002_T000164,15124,15183
C00_V0002,C00_V0002_T000165,15184,15218
C00_V0002,C00_V0002_T000166,15219,15250
C00_V0002,C00_V0002_T000167,15251,15537
C00_V0002,C00_V0002_T000168,15538,15631
C00_V0002,C00_V0002_T000169,15632,15699
C00_V0002,C00_V0002_T000170,15700,15769
C00_V0002,C00_V0002_T000171,15770,15865
C00_V0002,C00_V0002_T000172,15866,15924
C00_V0002,C00_V0002_T000173,15925,15989
C00_V0002,C00_V0002_T000174,15990,16033
C00_V0002,C00_V0002_T000175,16034,16121
C00_V0002,C00_V0002_T000176,16122,16164
C00_V0002,C00_V0002_T000177,16165,16199
C00_V0002,C00_V0002_T000178,16200,16270
C00_V0002,C00_V0002_T000179,16271,16372
C00_V0002,C00_V0002_T000180,16373,16435
C00_V0002,C00_V0002_T000181,16436,16502
C00_V0002,C00_V0002_T000182,16503,16596
C00_V0002,C00_V0002_T000183,16597,16902
C00_V0002,C00_V0002_T000184,16903,17004
C00_V0002,C00_V0002_T000185,17005,17071
C00_V0002,C00_V0002_T000186,17072,17160
C00_V0002,C00_V0002_T000187,17161,17354
C00_V0002,C00_V0002_T000188,17355,17427
C00_V0002,C00_V0002_T000189,17428,17536
C00_V0002,C00_V0002_T000190,17537,17635
C00_V0002,C00_V0002_T000191,17636,17775
C00_V0002,C00_V0002_T000192,17776,17872
C00_V0002,C00_V0002_T000193,17873,18031
C00_V0002,C00_V0002_T000194,18032,18106
C00_V0002,C00_V0002_T000195,18107,18439
C00_V0002,C00_V0002_T000196,18440,18494
C00_V0002,C00_V0002_T000197,18495,18552
C00_V0002,C00_V0002_T000198,18553,18635
C00_V0002,C00_V0002_T000199,18636,18672
C00_V0002,C00_V0002_T000200,18673,18705
C00_V0002,C00_V0002_T000201,18706,18745
C00_V0002,C00_V0002_T000202,18746,18778
C00_V0002,C00_V0002_T000203,18779,18783
C00_V0002,C00_V0002_T000204,18784,18849
C00_V0002,C00_V0002_T000205,18850,18911
C00_V0002,C00_V0002_T000206,18912,18979
C00_V0002,C00_V0002_T000207,18980,19045
C00_V0002,C00_V0002_T000208,19046,19061
C00_V0002,C00_V0002_T000209,19062,19082
C00_V0002,C00_V0002_T000210,19083,19131
C00_V0002,C00_V0002_T000211,19132,19191
C00_V0002,C00_V0002_T000212,19192,19251
C00_V0002,C00_V0002_T000213,19252,19302
C00_V0002,C00_V0002_T000214,19303,19363
C00_V0002,C00_V0002_T000215,19364,19411
C00_V0002,C00_V0002_T000216,19412,19441
C00_V0002,C00_V0002_T000217,19442,19485
C00_V0002,C00_V0002_T000218,19486,19499
C00_V0002,C00_V0002_T000219,19500,19535
C00_V0002,C00_V0002_T000220,19536,19551
C00_V0002,C00_V0002_T000221,19552,19587
C00_V0002,C00_V0002_T000222,19588,19656
C00_V0002,C00_V0002_T000223,19657,19721
C00_V0002,C00_V0002_T000224,19722,20021
C00_V0002,C00_V0002_T000225,20022,20115
C00_V0002,C00_V0002_T000226,20116,20181
C00_V0002,C00_V0002_T000227,20182,20229
C00_V0002,C00_V0002_T000228,20230,20343
C00_V0002,C00_V0002_T000229,20344,20386
C00_V0002,C00_V0002_T000230,20387,20547
C00_V0002,C00_V0002_T000231,20548,20593
C00_V0002,C00_V0002_T000232,20594,20659
C00_V0002,C00_V0002_T000233,20660,20698
C00_V0002,C00_V0002_T000234,20699,20723
C00_V0002,C00_V0002_T000235,20724,20756
C00_V0002,C00_V0002_T000236,20757,20813
C00_V0002,C00_V0002_T000237,20814,20866
C00_V0002,C00_V0002_T000238,20867,20942
C00_V0002,C00_V0002_T000239,20943,21342
C00_V0002,C00_V0002_T000240,21343,21418
C00_V0002,C00_V0002_T000241,21419,21481
C00_V0002,C00_V0002_T000242,21482,21561
C00_V0002,C00_V0002_T000243,21562,21638
C00_V0002,C00_V0002_T000244,21639,21693
C00_V0002,C00_V0002_T000245,21694,21779
C00_V0002,C00_V0002_T000246,21780,21924
C00_V0002,C00_V0002_T000247,21925,22036
C00_V0002,C00_V0002_T000248,22037,22064
C00_V0002,C00_V0002_T000249,22065,22114
C00_V0002,C00_V0002_T000250,22115,22149
C00_V0002,C00_V0002_T000251,22150,22173
C00_V0002,C00_V0002_T000252,22174,22272
